Tienda	Código de Artículo		Descripción		Precio		Fecha	Exsitencia Actual		Puede Surtir	Nro.de Dctos.  Puede Surtir	NO Surtir	Nro.de Dctos.  NO Surtir		Existencia Aereo		
006	1011160		ALFOMBRA BANDEJA		1.860,71		24-08-2018	32,00		32,00	1	0,00	0				
006	1011163		COBERTOR 1,5 X 2 IMP		314,28		14-09-2018	6,00		6,00	1	0,00	0				
006	1011166		ESTERILLA BOLITA MAD		314,28		04-09-2018	35,00		35,00	1	0,00	0		12,00		
006	1011186		CUBRE ASIENTO PREMIE		945,53		14-09-2018	22,00		22,00	1	0,00	0		6,00		
006	1011187		ALFOMBRA LINE PVC		764,56		03-07-2018	15,00		15,00	1	0,00	0				
006	1011188		ALFOMBRA PLATINUM		1.038,06		03-07-2018	6,00		6,00	1	0,00	0				
006	1011902		COBERTOR VOLANTE		401,56		03-07-2018	21,00		21,00	1	0,00	0		2,00		
006	1011950		PROTECTOR CINTURON		89,08		07-07-2018	7,00		7,00	1	0,00	0				
006	1021010		CONO BARRICADA		2.402,68		22-08-2018	12,00		12,00	1	0,00	0				
006	1021041		TRIANGULO DE SEGURID		94,06		29-06-2018	13,00		1,00	1	12,00	1				
006	1024001		GATO BOTELLA  2 TON		2.159,82		22-08-2018	12,00		12,00	1	0,00	0				
006	1024006		GATO BOTELLA 4 TON		2.607,14		22-08-2018	11,00		11,00	1	0,00	0				
006	1024017		ZUNCHO GRANDE		100,31		07-07-2018	6,00		6,00	1	0,00	0				
006	1024025		LLAVE CRUZ PLEGABLE		2.010,72		14-09-2018	12,00		12,00	1	0,00	0				
006	1024032		GATO 6 TON		3.633,03		14-09-2018	12,00		12,00	1	0,00	0				
006	1024040		BOMBA MULTIUSO		542,86		04-09-2018	22,00		22,00	1	0,00	0				
006	1024041		BOMBA E INFLADOR		552,68		05-09-2018	23,00		23,00	1	0,00	0				
006	1024081		GATO BOTELLA 8 TON		4.373,22		14-09-2018	12,00		12,00	1	0,00	0				
006	1024082		GATO TIJERA		2.367,86		22-08-2018	10,00		10,00	1	0,00	0				
006	1024083		COMPRESOR DE AIRE		1.289,29		26-08-2018	9,00		9,00	1	0,00	0				
006	1024315		LLAVE DE CRUZ 20"		1.691,97		14-09-2018	7,00		7,00	1	0,00	0				
006	1024654		ASPIRAD 12V HERCULES		555,56		04-07-2018	2,00		2,00	1	0,00	0		2,00		
006	1027017		CABLE AUXILIAR 400A		2.514,28		14-09-2018	16,00		16,00	1	0,00	0				
006	1027030		LAMPARA P/TRABAJO		388,31		03-07-2018	29,00		5,00	1	24,00	1				
006	1027310		CABLE AUXILIAR500A		2.936,60		15-09-2018	14,00		14,00	1	0,00	0				
006	1207043		MACHETE LINIERO 20 N		532,31		16-08-2018	1,00		1,00	1	0,00	0				
006	1212007		16" TAPA PANAL		421,55		04-09-2018	20,00		20,00	1	0,00	0				
006	1212033		14" TAPA PANAL NEGRA		260,34		04-09-2018	12,00		12,00	1	0,00	0				
006	1212051		12" CAJA NEGRA		200,86		04-09-2018	16,00		16,00	1	0,00	0				
006	1212055		14" TAPA PANAL CAJA		708,93		22-08-2018	16,00		16,00	1	0,00	0				
006	1214035		19" TAPA PANAL		89,26		14-06-2018	1,00		1,00	1	0,00	0				
006	1214079		18,5" TAPA PANAL		1.417,86		22-08-2018	11,00		11,00	1	0,00	0				
006	1234021		8" AJUSTABLE NEGRO		1.252,68		28-08-2018	6,00		6,00	2	0,00	0				
006	1260006		1 1/4" 2,54 ESPÁTULA		28,98		11-07-2018	26,00		26,00	1	0,00	0		15,00		
006	1260007		2" 5,08 CM ESPÁTULA		32,93		11-07-2018	23,00		23,00	1	0,00	0		15,00		
006	1268019		SILICÓN 5/16"X 10 CM		44,98		21-06-2018	14,00		2,00	1	12,00	1		12,00		
006	1268021		SILICÓN 1/2X"30CM		249,06		21-06-2018	2,00		2,00	1	0,00	0				
006	1274055		HOJA SEGUETA 18 TH		139,66		13-09-2018	76,00		76,00	1	0,00	0		70,00		
006	1405102		PERIFERICA 1/2HP		7.768,97		05-09-2018	6,00		6,00	1	0,00	0				
006	1406009		20GL 1/2HP		104,56		20-02-2018	1,00		1,00	1	0,00	0		1,00		
006	1406065		HIDROCOMPACTO 1,5 GL		4.000,56		31-07-2018	1,00		1,00	1	0,00	0				
006	1406068		HIDRONEUMATICO 20 GL		10.873,06		01-08-2018	1,00		1,00	1	0,00	0				
006	1407040		LUSTRAPULIDORA 120W		1.970,56		13-06-2018	2,00		2,00	1	0,00	0				
006	1407041		LUSTRAPULIDORA 1300W		3.820,56		13-06-2018	2,00		2,00	1	0,00	0				
006	1409061		GENERADOR INVERTER		31.903,06		16-03-2020	2,00		2,00	1	0,00	0				
006	1411049		1800W 140BAR		6.368,06		13-06-2018	2,00		2,00	1	0,00	0				
006	1412060		COMPRESOR 2HP		6.578,06		13-06-2018	2,00		2,00	1	0,00	0				
006	1412061		COMPRESOR 2HP		8.173,06		13-06-2018	2,00		2,00	1	0,00	0				
006	1420093		E6013 3/32" (5KG)		5.462,93		06-09-2018	10,00		10,00	1	0,00	0				
006	1422081		INVERTER 5100W		5.518,06		13-06-2018	2,00		2,00	1	0,00	0				
006	1422082		INVERTER 6500W		6.468,06		13-06-2018	2,00		2,00	1	0,00	0				
006	1422083		SOLDAR 14000W		6.448,06		13-06-2018	2,00		2,00	1	0,00	0				
006	1422084		INVERTER 7000W		8.078,06		13-06-2018	2,00		2,00	1	0,00	0				
006	1422085		INVERTER 8300W		7.430,56		13-06-2018	2,00		2,00	1	0,00	0				
006	1423167		ATORNILLAD 3/8" 12V		2.685,56		13-06-2018	2,00		2,00	1	0,00	0				
006	1423174		ATORN INALAM 14.4V N		3.341,96		28-08-2018	1,00		1,00	1	0,00	0				
006	1424001		ROTACION 1 8"		62,56		17-07-2018	1,00		1,00	1	0,00	0				
006	1424011		ROTACION 9/16"		158,56		14-07-2018	3,00		3,00	1	0,00	0				
006	1424012		ROTACION 5/8"		189,81		14-07-2018	1,00		1,00	1	0,00	0				
006	1424209		CONCRETO 5/16" X 5"		32,81		19-07-2018	1,00		1,00	1	0,00	0				
006	1425107		PERCUTOR 3/8" - 500W		1.610,56		13-06-2018	2,00		2,00	1	0,00	0				
006	1425121		PERCUTOR 1/2  650W		1.755,56		13-06-2018	2,00		2,00	1	0,00	0				
006	1425122		PERCUTOR 1/2  1100W		2.933,06		13-06-2018	1,00		1,00	1	0,00	0				
006	1425123		TALADRO DE IMPACTO		7.107,76		15-09-2018	5,00		5,00	1	0,00	0				
006	1426001		MECHA ESPADA 1 4"		85,11		16-08-2018	10,00		10,00	1	0,00	0		6,00		
006	1426003		MECHA ESPADA 1 2"		97,31		14-07-2018	1,00		1,00	1	0,00	0				
006	1426004		MECHA ESPADA 5 8"		100,31		14-07-2018	1,00		1,00	1	0,00	0				
006	1426005		MECHA ESPADA 3/4"		103,31		14-07-2018	1,00		1,00	1	0,00	0				
006	1426006		MECHA ESPADA 7/8"		109,06		14-07-2018	1,00		1,00	1	0,00	0				
